attach,https://wallet2.iota.town:443 score: 46.82064695249903 scoreNorm: 0.24460837659698179
42081,381313,0
249208,126512,1
103942,232055,2
15229,381111,3
102356,180080,4
180833,119663,5
33937,265700,6
213418,244010,7
128272,378043,8
406315,50978,10
178336,292565,11
-1,-1,12
-1,-1,9
-1,-1,16
-1,-1,15
-1,-1,17
-1,-1,14
440640,434645,13
434399,78488,19
-1,-1,21
-1,-1,22
568441,300461,18
-1,-1,23
-1,-1,24
-1,-1,25
371123,481740,20
546547,72776,26
390297,250072,27
-1,-1,31
-1,-1,32
-1,-1,30
-1,-1,29
267272,466779,28
-1,-1,35
-1,-1,36
-1,-1,34
-1,-1,37
340258,505331,33
550866,349197,38
451516,403803,39
389561,469801,40
328909,476451,41
267806,502872,42
-1,-1,44
206542,551636,43
