attach,https://wallet2.iota.town:443 score: 63.727050840854645 scoreNorm: 0.26833727061313273
215184,184789,0
153276,200626,1
92881,222240,2
574,249816,3
42259,427116,4
200386,399738,5
137924,459556,6
70079,513595,7
535913,119630,8
347706,301003,9
-1,-1,14
-1,-1,13
-1,-1,12
286236,322619,10
-1,-1,16
-1,-1,17
218268,402049,11
-1,-1,15
-1,-1,18
440606,2920,21
-1,-1,25
562910,226358,19
-1,-1,26
-1,-1,27
501740,341086,20
-1,-1,28
379594,439180,22
317858,466879,23
255681,551892,24
-1,-1,30
188107,459557,29
588852,34911,31
386106,247706,32
324104,346131,33
263081,383994,34
202071,448715,35
139203,514226,36
-1,-1,38
-1,-1,37
-1,-1,41
-1,-1,42
210593,470517,39
146153,580650,40
411027,250389,43
356099,265117,44
