attach,https://dyn.tangle-nodes.com:443 score: 105.58647428019663 scoreNorm: 0.4445959125390421
497,1130,0
1160,19787,1
1028,311,2
660,252,3
695,272,4
22101,227,5
896,787,6
-1,-1,7
902,207,8
1124,181,9
6488,236,10
1126,194,11
-1,-1,12
-1,-1,13
10498,195,14
1254,1662,15
1080,212,16
737,242,17
-1,-1,18
3799,1211,19
-1,-1,20
1289,227,21
990,186,22
-1,-1,23
-1,-1,24
-1,-1,25
14570,18093,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
3582,245,32
-1,-1,33
-1,-1,34
-1,-1,35
800,222,36
-1,-1,37
964,213,38
-1,-1,39
1056,226,40
-1,-1,41
902,184,42
1434,629,43
