attach,https://node01.gubiota.ch:443 score: 38.77488493998793 scoreNorm: 0.16327048962485907
675,84,0
891,104,1
568,105,2
473,83,3
12780,7078,4
32165,104,5
16268,889,6
1832,27710,7
34107,16578,8
111621,35350,9
-1,-1,10
44270,110223,11
74739,14949,12
35113,21792,13
2683,24359,14
2653,55391,15
18713,10390,16
-1,-1,17
82147,11366,18
47175,38873,19
54271,46865,20
-1,-1,21
81434,380,22
45562,50133,23
10637,101200,24
-1,-1,25
-1,-1,26
-1,-1,28
-1,-1,27
-1,-1,29
-1,-1,30
-1,-1,32
-1,-1,31
-1,-1,33
111428,49731,34
-1,-1,35
-1,-1,36
-1,-1,37
-1,-1,40
-1,-1,39
-1,-1,38
-1,-1,42
-1,-1,41
-1,-1,43
-1,-1,44
