attach,https://nodes.thetangle.org:443 score: 114.9648839646243 scoreNorm: 0.7602482268925974
680,650,0
1529,2168,1
468,2168,2
578,1736,3
1331,1142,4
841,7987,5
1065,54861,6
846,23274,7
518,25002,8
-1,-1,9
-1,-1,10
1472,19624,11
1401,3438,12
777,2889,13
1416,1136,14
878,1658,15
1256,5634,16
965,2039,17
1964,2520,18
504,11306,19
613,2832,20
511,841,21
593,591,22
1355,550,23
1202,1430,24
864,21957,25
1603,14960,26
646,18964,27
1212,30813,28
719,799,29
434,3508,30
618,2100,32
-1,-1,31
632,10395,33
429,2276,34
1054,6305,35
600,26461,36
1374,18528,37
474,3275,38
598,49056,39
979,10130,40
-1,-1,41
453,1858,42
