attach,http://node03.iotatoken.nl:14265 score: 4.347810539365044 scoreNorm: 0.039103266305327
-97566,0
-102567,1
-101674,2
-101626,3
-98008,4
-99382,5
-98306,6
-103274,7
-103697,8
-104183,9
-99616,10
-100607,11
-101963,12
-101440,13
-99615,14
-99191,15
-102341,16
-102381,17
-102994,18
-94485,19
-99604,20
-102377,21
-102194,22
-99270,23
-93391,24
-98154,25
-95797,26
-104146,27
-94938,28
-101654,29
-99081,30
-100982,31
-103482,32
-103203,33
-96490,34
-100042,35
-101390,36
-97631,37
-103944,38
-103656,39
-95854,40
-101215,41
-94671,42
-97946,43
-103200,44
