attach,http://mandelhost.de:14265 score: 94.5551602935791 scoreNorm: 0.4430661180063105
5341,297,1
15712,13085,0
13828,54,2
7998,41,3
1301,29,4
979,42,5
9202,342,6
48885,1025,8
59925,3960,7
4992,9162,9
21464,6365,10
24094,13966,11
8103,446,12
16480,7662,13
1161,475,14
15185,7521,15
12111,412,16
1536,9429,17
1075,34,18
30509,5605,19
9107,32771,20
58414,46778,21
45077,56677,22
41232,40389,23
13436,23949,24
49598,362,25
30515,10207,26
38497,2942,27
51019,1203,28
12607,2205,29
6779,39498,30
2254,135212,32
67521,128345,31
85165,13982,33
64468,23012,34
37511,38676,35
-1,-1,36
-1,-1,37
-1,-1,38
1097,59,39
854,53,40
32439,15345,41
-1,-1,42
-1,-1,43
1478,817,44
