attach,http://78.46.254.167:14265 score: 44.44942462886708 scoreNorm: 0.20828090139955668
1573,83,0
1393,55,1
973,62,2
968,55,3
884,50,4
805,63,5
1081,56,6
550,49,7
782,205,8
1380,56,9
1056,57,10
996,56,11
771,55,12
844,69,13
828,62,14
880,83,15
3831,54,16
1125,44,17
1186,56,18
1749,44,19
428,56,20
852,58,21
848,65,22
10065,62,23
863,62,24
718,44,25
568,56,26
843,50,27
1116,63,28
842,64,29
1055,61,30
741,61,31
900,42,32
6697,44,33
829,50,34
733,49,35
974,62,36
919,61,37
1056,43,38
900,50,39
415,49,40
551,49,41
690,61,42
