id, latitude, longitude, timestamp, executionTime
0, -22.8951, -43.256, 2020-03-18T10:09:05.471Z, 1806
1, -22.894, -43.2578, 2020-03-18T10:10:05.488Z, 5448
2, -22.8949, -43.2624, 2020-03-18T10:11:24.498Z, 3120
3, -22.8967, -43.2632, 2020-03-18T10:12:45.512Z, 1457
4, -22.899, -43.2636, 2020-03-18T10:13:04.521Z, 1948
5, -22.9007, -43.2666, 2020-03-18T10:14:04.527Z, 2940
6, -22.9018, -43.2692, 2020-03-18T10:15:04.538Z, 1254
7, -22.897, -43.2722, 2020-03-18T10:17:04.572Z, 1916
8, -22.8964, -43.2726, 2020-03-18T10:18:04.586Z, 2820
9, -22.8926, -43.2767, 2020-03-18T10:19:32.595Z, 1335
10, -22.8921, -43.2775, 2020-03-18T10:20:03.599Z, 2519
11, -22.892, -43.2794, 2020-03-18T10:21:03.604Z, 1587
12, -22.8919, -43.2804, 2020-03-18T10:22:03.622Z, 1892
13, -22.8919, -43.2818, 2020-03-18T10:23:03.631Z, 3185
