attach,https://www.iotaqubic.us:443 score: 81.53412566334379 scoreNorm: 0.5391748534784675
1449,722,0
1680,686,1
838,698,2
1287,718,3
-1,-1,4
942,747,5
968,739,6
-1,-1,7
933,700,8
997,792,9
847,907,10
1323,727,11
941,728,12
1226,728,13
945,734,14
1020,698,15
1229,725,16
1244,743,17
1266,697,18
-1,-1,19
939,693,20
872,720,21
1067,743,22
974,743,23
981,736,24
1277,719,25
1492,725,26
1195,693,27
934,715,28
932,715,29
831,687,30
870,706,31
838,714,32
884,729,33
1184,708,34
863,755,35
864,728,36
924,709,37
1046,720,38
-1,-1,39
1339,689,40
1558,732,41
880,722,42
883,735,43
960,714,44
