attach,https://nodes.thetangle.org:443 score: 114.9648839646243 scoreNorm: 0.7602482268925974
473,4642,0
616,15020,1
952,2594,2
9345,1222,3
528,5544,5
41392,13605,6
1161,16496,7
1374,22263,8
394,36486,9
1223,36653,10
-1,-1,4
17453,2359,11
723,5937,12
644,8127,13
968,3529,14
1521,3941,15
725,1069,16
46828,5013,17
10599,4273,18
1337,3717,19
521,23417,20
1305,24379,21
812,25804,22
548,30133,23
769,2358,24
472,5712,25
855,3151,26
321,1342,27
943,9503,28
366,22785,29
1835,20455,30
541,22418,31
402,6122,32
554,1196,34
-1,-1,33
1254,1230,35
1223,4190,36
513,2978,37
7828,4450,38
329,2537,39
501,7378,40
568,2217,41
426,12025,42
594,2968,43
