attach,LCVJQYOQPLGDCJ9DFQFFPCBTSVWWMKUINDSTQR9CPGJHD9GWIMTXKMCJBTWLIYUSUUXFM9NIZ9VX9WFBF https://wallet2.iota.town:443
15464,0
21363,1
5725,2
6198,3
28143,4
50202,5
69586,6
-1,8
85732,7
-1,9
110064,10
-1,11
-1,12
140219,13
-1,14
-1,15
136588,16
-1,17
123242,18
-1,19
-1,20
123221,21
-1,22
-1,23
146052,24
-1,26
-1,25
-1,27
98321,28
114069,29
103739,30
90236,32
-1,31
97290,33
107992,34
96706,35
103872,36
-1,37
-1,38
-1,39
-1,41
-1,40
97183,42
115953,43
105324,44
