attach,XRHXSZZIBQAJCQBTZXGKTQOQLOZSJ9KUDZJOL9AISHAZIHPRFVSFQLCDGMQ9ZUVRZJQPMLOWUYJBSHAZU https://nodes.thetangle.org:443
36957,0
26611,1
14100,2
6172,3
9561,4
6099,5
-1,6
61475,7
70619,8
79191,9
88617,10
-1,11
-1,12
-1,13
148376,14
-1,15
-1,16
140269,17
-1,18
124192,19
-1,20
-1,21
-1,22
-1,23
-1,24
-1,25
-1,26
-1,27
-1,28
92379,29
-1,30
115929,31
81252,33
187396,32
106034,34
125920,35
95426,36
100631,37
-1,38
-1,39
144185,40
-1,41
125241,42
93981,43
101037,44
