attach,DQXGAICJGKSV9RQBGRPDI9YXTESWHSGMMVIXOPSRUFWUQETCWOEVYCR9IDJQTU9JDEMAUTBDLZTCVWPVK https://node01.gubiota.ch:443
6110,0
12368,1
7252,2
12870,3
7117,4
15217,5
14247,6
26364,7
30649,8
18589,9
4506,10
19062,11
3809,12
5327,13
13309,14
17530,15
1117,16
19208,17
-1,18
6323,19
52101,20
61122,21
64047,22
89985,23
105222,24
-1,25
-1,26
-1,27
159497,28
-1,29
-1,32
130668,30
-1,31
163054,33
-1,34
-1,36
-1,35
-1,37
-1,38
-1,39
-1,40
92918,41
-1,42
