attach,http://167.86.108.113:14265 score: 0 scoreNorm: 0
1824,40,0
1590,38,1
13661,43,2
2020,26,3
1804,25,4
1553,38,5
5598,41,6
1870,31,7
1996,31,8
1768,25,9
1584,27,10
1893,25,11
1752,37,12
1909,28,13
1697,38,14
1852,25,15
1872,43,16
1997,43,17
1941,37,18
1510,38,19
1905,41,20
1733,48,21
1814,44,22
1955,47,23
1939,38,24
1942,36,25
1772,44,26
1799,38,27
1732,44,28
1686,46,29
1859,24,30
1805,37,31
3202,41,32
1883,46,33
1955,33,34
2026,44,35
1996,30,36
2172,44,37
2225,40,38
1983,30,39
1877,30,40
2366,44,41
2245,34,42
1626,30,43
1900,40,44
