attach,http://iota-fn01.sairai.de:14265 score: 11.330522798837867 scoreNorm: 0.049598306904040615
2997,19,0
580,26,1
415,355,2
617,31,3
597,26,4
526,12,5
822,12,6
504,25,7
586,14,8
551,34,9
570,33,10
1200,27,11
1154,33,12
1036,27,13
708,27,14
1020,476,15
979,15,16
1226,14,17
420,33,18
965,34,19
1113,13,20
1216,21,21
1439,27,22
1165,26,23
1423,34,24
845,21,25
920,15,26
560,27,27
5081,20,28
1123,25,29
4236,27,30
807,16,31
9105,21,32
808,15,33
13658,24,34
952,19,35
843,11,36
790,1,37
501,12,38
483,5,39
310,2,40
624,26,41
1073,815,42
741,12,43
535,-1,44
