attach,https://trinity.iota-tangle.io:14265 score: 123.46035075187683 scoreNorm: 1
631,1030,0
854,1989,1
472,1515,2
469,2771,3
497,3600,4
711,504,5
998,1792,6
444,1335,7
632,1040,8
626,5258,9
568,1672,10
675,2028,11
1154,644,12
714,1650,13
257,1405,14
1901,2021,15
740,1270,16
779,2497,17
687,433,18
372,2323,19
452,2329,20
982,1039,21
725,2927,22
967,2276,23
436,4810,24
742,1628,25
821,1505,26
552,2172,27
583,470,28
560,1269,29
314,2194,30
473,1527,31
641,942,32
764,2302,33
854,1972,34
462,4674,35
1231,1202,36
1159,630,37
535,1068,38
731,2489,39
535,290,40
681,2252,41
1392,4899,42
797,1009,43
697,5846,44
