attach,https://wallet1.iota.town:443 score: 115.03298349380492 scoreNorm: 0.9317402938939585
11153,88096,0
55888,136200,1
88519,107308,2
176237,55476,3
70480,180920,4
196080,11071,5
40472,295848,6
164965,170830,7
36491,319953,8
258361,104952,9
197226,123859,10
56716,234735,11
224650,23763,12
155733,42223,13
9501,188111,14
88900,152391,15
231792,6837,16
272288,23870,18
48771,256388,19
277289,65022,20
179977,158343,21
147056,232343,22
304079,447133,17
334180,11796,25
456364,44574,24
223465,354389,26
-1,-1,23
160700,440267,27
127960,466406,28
300241,302567,30
-1,-1,32
-1,-1,33
192555,483475,31
575209,82080,34
-1,-1,29
-1,-1,38
226363,449781,35
194319,535519,36
163811,554305,37
378530,339795,39
-1,-1,42
262997,503941,40
201300,594268,41
