attach,99UKJJNBURXWEYTZZCHCCJEMOFJBZXCGFORCDQFJRQZDQGBENFWNDZWDKKUJTKNFXLMGKNMPQBQJDKHNE https://trinity.iota-tangle.io:14265 score: 0.5027055438440604
4289,0
3886,1
2250,2
1310,3
2195,4
3663,5
3766,6
2201,7
4386,8
955,9
2538,10
3845,11
1372,12
11772,13
2807,14
6122,15
4112,16
1263,17
983,18
2056,19
1754,20
934,21
1524,22
3537,23
3777,24
2049,25
1653,26
2957,27
2540,28
3670,29
6803,30
1987,31
3233,32
1131,33
3459,34
2093,35
4356,36
11145,37
4322,38
2609,39
2135,40
5814,41
-1,42
957,43
