attach,https://wallet1.iota.town:443 score: 111.02140731811522 scoreNorm: 1
6686,0
25573,1
9210,2
31558,3
85348,4
90372,5
123961,6
131778,7
165118,8
208442,9
189609,10
144467,11
171453,12
249205,13
239792,14
226394,15
236357,16
314955,17
390623,18
493102,19
566265,20
693274,21
-1,22
-1,23
698201,24
717043,25
729859,26
738824,27
-1,29
-1,28
-1,33
-1,32
-1,34
-1,35
986231,30
-1,31
-1,37
-1,36
-1,38
873803,39
930135,40
-1,43
-1,42
-1,41
