attach,https://perma.iota.partners:443 score: 42.13396844863892 scoreNorm: 0.3795121091188327
2716,0
3370,1
2709,2
12787,3
6229,4
3715,5
2691,6
8224,7
5269,8
8567,9
8984,10
8486,11
4029,12
17872,13
5249,14
2004,15
12843,16
7384,17
5852,18
20124,19
13350,20
-1,21
-1,22
5582,23
9584,24
3480,25
5766,26
8580,27
2535,28
5472,29
4754,30
11660,31
4081,32
3289,33
2782,34
1147,35
6488,36
4141,37
7336,38
8824,39
7660,40
6696,41
6251,42
3609,43
4329,44
