attach,https://trinity.iota-tangle.io:14265 score: 74.74963881075382 scoreNorm: 0.6732903195558485
1723,0
886,1
546,2
1253,3
1828,4
3061,5
941,6
1532,7
3821,8
2189,9
961,10
2495,11
1049,12
1078,13
2374,14
812,15
1518,16
3702,17
2536,18
1598,19
658,20
3535,21
2153,22
2441,23
1559,24
2510,25
1627,26
3999,27
2250,28
2350,29
5520,30
3939,31
674,32
2341,33
2887,34
2734,35
2223,36
3987,37
7748,38
1605,39
2618,40
3536,41
2726,42
2318,43
1782,44
