attach,https://ultranode.iotatoken.nl:443 score: 224.3111610989041 scoreNorm: 0.9978178361093268
75853,48896,0
71132,54997,1
72025,48095,2
75804,34317,3
60392,14292,4
17855,26257,5
35811,2057,6
624,2010,7
668,3512,8
2989,2054,9
33422,39697,10
33328,2193,11
617,5226,12
1106,4465,13
1231,1227,14
835,8992,15
1946,8212,16
681,5522,17
648,3304,18
803,20844,19
1101,9221,20
6420,11456,21
489,5180,22
4985,9406,23
475,3596,24
881,3853,25
1193,7092,26
1111,1551,27
6294,26976,28
25664,1295,29
699,3280,30
547,2544,31
12550,7155,32
11679,20033,33
13621,14880,34
738,611,35
2546,3004,36
27537,12883,37
701,5322,38
897,6183,39
1242,20037,40
6880,5535,41
789,2801,42
