attach,https://node02.gubiota.ch:443 score: 38.81790246525103 scoreNorm: 0.163613173144157
788,14282,0
1583,1581,1
1043,28825,2
558,3489,3
-1,-1,4
-1,-1,6
-1,-1,5
92289,54240,7
-1,-1,9
-1,-1,8
-1,-1,10
-1,-1,11
-1,-1,12
80653,81341,13
-1,-1,14
50684,55955,15
-1,-1,16
8783,75686,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,24
64992,69223,25
79242,14145,26
37535,17757,27
36544,11933,28
45181,37043,29
87421,10721,30
26390,46072,31
8652,57151,32
11578,78418,33
7882,36099,34
58121,83808,35
68931,51344,36
74560,65702,37
71580,21275,38
-1,-1,40
-1,-1,39
-1,-1,41
104615,55795,42
-1,-1,43
-1,-1,44
