attach,https://nodes.devnet.thetangle.org:443 score: 1 scoreNorm: 1 YZPZADZXFQUATBFFTUKBDDGDI9YSTIGFTNBSHZQOEYHWQLOSSOYPOHWCFEYAE9NI9EXKRSODGQYXXAJVH
-1,0
-1,1
901,2
10101,3
-1,4
-1,5
-1,6
-1,7
-1,8
-1,9
-1,10
-1,11
-1,12
-1,13
-1,14
649,15
15423,16
30872,17
-1,18
-1,19
-1,20
-1,21
-1,22
-1,23
-1,24
1145,25
23784,26
-1,27
-1,28
-1,29
-1,30
-1,31
-1,32
566,33
740,34
-1,35
-1,36
-1,37
-1,38
-1,39
-1,40
-1,41
494,42
9554,43
25772,44
