attach,https://nodes.thetangle.org:443 score: 89.05902667442065 scoreNorm: 0.4069178010799934
8662,3187,0
791,2831,1
461,1692,2
533,9608,3
703,6293,4
484,473,5
920,2383,6
1337,2400,7
533,1150,8
1355,3537,9
692,7806,10
458,12734,11
1298,23847,12
1298,10431,13
591,1699,14
489,2063,15
8392,7280,16
716,1209,17
468,4567,18
624,9564,19
16123,16539,20
26348,27015,21
20919,28080,22
1381,3166,23
461,2099,24
1243,528,25
491,1409,26
305,2713,27
557,6357,28
1347,13840,29
711,25184,31
1108,27692,32
1114,30580,33
565,1239,34
1420,1458,35
567,3923,36
1306,888,37
2297,7830,38
-1,-1,30
670,24289,39
1312,18328,40
557,23286,41
1402,30251,42
594,1640,43
656,1106,44
