attach,https://dyn.tangle-nodes.com:443 score: 135.14671339988706 scoreNorm: 0.6174961201958125
-1,-1,1
-1,-1,0
11937,11896,2
-1,-1,3
-1,-1,4
1171,10987,5
-1,-1,6
-1,-1,7
-1,-1,8
1280,1028,9
-1,-1,10
24910,1069,11
-1,-1,12
-1,-1,13
1625,20596,14
-1,-1,15
-1,-1,16
1066,2710,17
-1,-1,18
1074,17112,19
873,7220,20
975,6621,21
605,2545,22
14883,6180,23
-1,-1,24
2515,2101,25
-1,-1,26
-1,-1,27
-1,-1,28
1180,21997,29
1588,1035,30
2723,1065,31
-1,-1,32
-1,-1,34
559,8915,33
-1,-1,35
-1,-1,36
-1,-1,37
1279,12050,38
-1,-1,39
-1,-1,40
2499,4796,41
23861,3945,42
-1,-1,43
1373,15854,44
