attach,https://wallet2.iota.town:443 score: 60.49420883825847 scoreNorm: 0.284144635498002
-1,-1,2
-1,-1,1
146297,421725,0
-1,-1,4
-1,-1,5
-1,-1,3
-1,-1,6
-1,-1,12
-1,-1,11
-1,-1,13
600139,163436,7
589424,265371,8
358420,294020,9
296741,391867,10
-1,-1,16
-1,-1,15
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
-1,-1,21
560993,422766,14
-1,-1,25
-1,-1,24
-1,-1,23
-1,-1,26
-1,-1,27
579027,354696,22
-1,-1,34
-1,-1,33
-1,-1,32
-1,-1,31
-1,-1,35
-1,-1,30
-1,-1,29
587586,522146,28
-1,-1,40
-1,-1,41
-1,-1,39
-1,-1,38
-1,-1,42
-1,-1,37
-1,-1,43
-1,-1,44
-1,-1,36
