attach,http://207.180.224.65:14265 score: 56.407233472913504 scoreNorm: 0.4770103099269763
30434,0
7695,1
36213,2
70770,3
75122,4
30052,6
116928,5
6510,7
37435,8
21192,9
25311,10
16619,11
88721,12
127050,13
154571,14
142516,15
182022,16
150336,17
224464,18
215776,19
224035,20
212672,21
303005,22
344954,23
375099,24
355953,25
375668,26
421875,27
405515,28
386488,29
441321,30
447990,31
513996,32
525676,33
627821,34
638706,35
305217,36
415737,37
509198,38
612108,39
592120,40
570745,41
641437,42
590296,43
