attach,http://mandelhost.de:14265 score: 98.89629272460937 scoreNorm: 0.8363209528055988
20175,0
141341,1
136944,2
109275,3
229158,4
231900,5
210311,6
199245,7
182278,8
172585,9
194696,10
172587,11
293242,12
301309,13
368149,14
383632,15
393835,16
423610,17
409964,18
490062,19
464581,20
560222,21
663558,22
664399,23
748705,24
778503,25
767218,26
784387,27
751179,28
775947,29
815750,30
870344,31
833713,32
875478,33
865990,34
855046,35
927140,36
967995,37
1022986,38
1012365,39
1041174,40
1017596,41
985383,42
931445,43
903129,44
