attach,http://207.180.224.65:14265 score: 82.34812113270164 scoreNorm: 0.7106947017442318
33157,0
29678,1
23387,2
40664,3
79389,4
50625,5
80568,6
59536,7
12159,8
10742,9
79732,10
27560,11
24258,12
44735,13
133029,14
172770,15
152615,16
189225,17
176152,18
212889,19
244503,20
230820,21
243741,22
290504,23
383081,24
388868,25
376908,26
391612,27
443649,28
421181,29
408958,30
419924,31
481399,32
532392,33
530126,34
615155,35
326351,36
438896,37
450626,38
524218,39
529403,40
620635,41
584756,42
544773,43
