attach,9FUWDKHZJPKAXQKJLAWDW9RSHGW9TJTPOIQEEMEUBMSP9IPOWAYJNGDKHC9HWPRZCYTTBHHVAZDUYLXVJ https://ultranode.iotatoken.nl:443
2945,0
2837,1
855,2
3377,3
2689,4
4771,5
5210,6
1049,7
-1,8
2095,9
4272,10
3303,11
3786,12
-1,13
2139,14
6055,15
4904,16
1749,17
3996,18
3725,19
2321,20
1386,21
2311,22
2177,23
6223,24
1375,25
3091,26
4866,27
2828,28
1143,29
1517,30
7971,31
-1,32
3206,33
1037,34
4312,35
1931,36
6196,37
1044,38
1412,39
7260,40
3014,41
1080,42
1410,43
978,44
