attach,WJLMUFUETBYODSDMVRYGYFA9IREOMJZIIMEUJWBPXOZATDGLNHRYBNVU9N9CWKJTLEFIBNMLNSMOFNAIA https://trinity.iota-tangle.io:14265
2533,0
2393,1
2816,2
1986,3
2398,4
1747,5
1322,6
2223,7
2112,8
5166,9
2144,10
1700,11
3064,12
2385,13
2907,14
1570,15
3094,16
-1,17
2408,18
2737,19
1680,20
897,21
3617,22
2091,23
2508,24
1718,25
1933,26
1629,27
1444,28
1732,29
5655,30
1416,31
1437,32
1818,33
4101,34
3085,35
5989,36
7851,37
2953,38
2119,39
2723,40
3792,41
3059,42
3957,43
