attach,CAA9BJCXYMEISHFUNZLTQSWLFIQREPJUCDUDTPEUPFXXZ9IIZCLSVCZWIEWLVUFQZX99EQCYEPBSMTSFE https://trinity.iota-tangle.io:14265
15424,0
50234,1
86005,2
-1,4
-1,8
-1,12
-1,5
460997,3
318916,6
261985,7
300452,9
-1,13
-1,15
-1,14
-1,10
-1,16
-1,17
-1,20
-1,11
-1,18
-1,24
-1,19
-1,22
-1,21
-1,28
-1,30
-1,23
-1,25
-1,31
-1,33
-1,34
-1,35
-1,36
-1,37
368419,29
-1,38
-1,32
-1,39
-1,40
728185,26
777039,27
-1,42
-1,41
