attach,https://nodes.thetangle.org:443 score: 92.93158329310043 scoreNorm: 0.7527241152900069
666,16098,0
427,1825,1
423,1172,2
869,1224,3
608,2370,4
479,7880,5
-1,-1,6
5142,3497,8
602,11719,7
1162,5215,9
823,26557,10
832,17371,11
448,9972,12
1504,3633,13
659,1667,14
1832,40791,15
428,2875,16
1516,6394,17
522,17393,19
457,55012,18
419,28449,20
11894,35641,21
-1,-1,22
374,2084,23
853,1252,24
641,1869,25
690,1939,26
446,517,27
834,6750,28
1889,61579,29
935,30524,30
669,24444,31
509,54097,32
662,940,33
821,2509,34
357,2284,35
441,2344,36
840,3768,37
1353,9152,38
670,14360,39
980,26601,40
347,3313,41
717,1485,42
569,578,43
-1,-1,44
