attach,https://www.iotaqubic.us:443 score: 97.28977370677096 scoreNorm: 0.7880244395409023
1316,700,0
839,705,1
1057,704,2
1243,710,3
726,694,4
2342,688,5
994,688,6
819,681,7
1023,698,8
1493,725,9
1458,709,10
1251,720,11
901,691,12
927,711,13
1001,731,14
815,715,15
1358,679,16
1164,704,17
862,772,18
832,700,19
1195,702,20
923,705,21
829,700,22
1349,701,23
1036,750,24
794,739,25
1205,730,26
1150,737,27
1112,717,28
1227,717,29
-1,-1,30
868,722,31
-1,-1,32
1005,718,33
1137,722,34
871,702,35
942,725,36
1635,741,37
1151,690,38
1185,716,39
1455,730,40
850,733,41
920,727,42
1373,681,43
924,682,44
