attach,https://www.iotaqubic.us:443 score: 88.44524882433723 scoreNorm: 0.7880244395409023
1201,703,0
1009,728,1
1180,733,2
904,741,3
1031,713,4
1285,750,5
1483,718,6
996,719,7
1286,739,8
1133,732,9
1575,731,10
1418,728,11
1110,706,12
968,732,13
746,753,14
-1,-1,15
1138,733,16
1015,703,17
768,726,18
797,718,19
895,732,20
959,697,21
1269,737,22
1215,742,23
1078,758,24
1192,725,25
842,724,26
867,929,27
1176,728,28
-1,-1,29
1063,719,30
1238,944,31
1460,723,32
1167,761,33
1169,762,34
1002,735,35
898,728,36
872,708,37
873,701,38
1168,723,39
943,690,40
734,721,41
1337,731,42
844,910,43
1508,711,44
