attach,https://wallet1.iota.town:443 score: 104.57543953982265 scoreNorm: 0.9317402938939585
80923,261131,0
277935,30986,1
201128,90719,2
338520,1776,3
254112,116494,4
28510,197566,5
173734,122075,6
117190,182972,7
270809,55781,8
416998,155488,12
273164,319065,13
-1,-1,11
-1,-1,10
-1,-1,9
202130,399529,14
129416,456960,15
511408,104501,17
-1,-1,19
-1,-1,20
230592,399222,18
586284,38926,21
548764,118900,22
-1,-1,16
-1,-1,26
-1,-1,27
-1,-1,25
247225,420863,23
211489,482492,24
-1,-1,31
-1,-1,32
-1,-1,30
280797,438779,28
244215,558706,29
507859,229973,33
-1,-1,37
-1,-1,38
-1,-1,36
325880,448439,34
239071,538180,35
357586,376487,39
261802,492553,40
-1,-1,43
-1,-1,42
-1,-1,41
543650,271879,44
