attach,https://nodes.thetangle.org:443 score: 84.4832575391822 scoreNorm: 0.7527241152900068
529,41073,0
1273,957,1
-1,-1,2
678,1960,3
975,4433,4
408,1092,5
-1,-1,6
288,19866,7
544,32668,8
545,33017,9
327,31813,10
1297,12803,11
552,597,12
-1,-1,13
953,2105,14
-1,-1,15
710,1697,16
764,8061,17
674,1907,18
659,14545,19
1253,15444,20
1351,3394,21
909,5595,22
-1,-1,23
474,19524,24
623,1604,25
475,13101,26
377,15445,27
552,17287,28
1316,25050,29
560,451,30
1494,1682,31
468,1210,32
629,3322,33
549,3400,34
338,12753,35
223,7699,36
818,18426,37
576,22618,38
520,677,39
597,460,40
514,4122,41
619,3924,42
