attach,https://wallet1.iota.town:443 score: 104.57543953982265 scoreNorm: 0.9317402938939585
153235,50882,0
40312,170037,1
7208,197540,2
229296,19597,3
99931,216630,4
238214,83298,6
278833,18003,7
176370,203011,8
112810,280189,9
301568,476891,5
452807,59400,11
420928,136908,12
-1,-1,10
219907,379733,13
157152,450351,14
125397,483383,15
524986,91659,16
297696,334074,17
-1,-1,19
-1,-1,20
190232,500957,18
539811,135223,21
-1,-1,26
-1,-1,25
365194,293554,22
222926,467311,23
160364,556331,24
-1,-1,31
383825,336675,27
-1,-1,32
-1,-1,30
-1,-1,29
265440,461189,28
-1,-1,38
393907,341726,33
-1,-1,37
-1,-1,36
294058,459831,34
248658,533386,35
410979,322022,39
301565,475612,40
259446,505287,41
-1,-1,44
-1,-1,43
-1,-1,42
