attach,https://contabo02.pinter-net.at:14267 score: 30.30297091975808 scoreNorm: 0.22412422348268066
16475,0
21781,1
32689,2
7917,3
53280,4
26386,5
27889,6
79065,7
41052,8
25496,9
14956,10
49588,11
47989,12
11333,13
67008,14
33135,15
41839,16
52083,17
23196,18
15148,19
59474,20
24454,21
11489,22
79708,23
71061,24
57907,26
122353,25
32814,27
9948,28
12574,29
53218,30
32347,31
29879,32
26879,33
16517,34
49637,35
43044,36
25230,37
15784,38
4313,39
12666,40
46861,41
24592,42
17625,43
76225,44
