attach,https://piota-node.com:443 score: 13.42000244233525 scoreNorm: 0.09925586618185217
20706,0
10941,1
14243,2
9113,3
16593,4
17228,5
17755,6
20300,7
18763,8
5065,9
28605,10
16409,11
17371,12
15944,13
3789,14
8637,15
3619,16
11060,17
12629,18
72653,19
32116,20
58752,21
56891,22
70445,23
45274,24
19435,25
22311,26
51212,27
23809,28
26810,29
46554,30
52940,31
48710,32
27237,33
50641,34
24229,35
8693,36
22746,37
18066,38
37618,39
87860,40
95134,41
55561,42
57212,43
