attach,JAHAQ9QLGOXLVJLERPJIMFNVYEMHNIXYLCRUQCRQKYALRRPAIPFXHBOVDLKKGTCWDGIWAAEUERLHHPSOT https://ultranode.iotatoken.nl:443
1619,0
1436,1
2592,2
759,3
5007,4
3766,5
1140,6
2485,7
3149,8
4060,9
4003,10
-1,11
4302,12
3789,13
1782,14
734,15
-1,16
2574,17
1478,18
5881,19
4052,20
6738,21
7047,22
1933,23
6629,24
4186,25
5198,26
4457,27
4846,28
2209,29
1722,30
2979,31
4692,32
2943,33
1149,34
3642,35
983,36
2378,37
1850,38
2311,39
4562,40
6357,41
3933,42
2164,43
4493,44
