attach,NOL9SPDZTKFMRCMWLRZJ9IAIGRCPPXJJEEXLJEKEAS99ZVPJJVPHCUKAJHBYAACIQESHVWGBQLSCMIRMD https://wallet1.iota.town:443
1856,0
1833,1
2354,2
1388,3
1512,4
1530,5
4863,6
1481,7
4116,8
2969,9
2265,10
1206,11
2199,12
2305,13
1318,14
2027,15
3141,16
3155,17
4888,18
2658,19
1611,20
2033,21
-1,22
2835,23
1959,24
1005,25
995,26
3210,27
6998,28
1264,29
-1,30
1192,31
2410,32
2348,33
4586,34
1971,35
4068,36
2324,37
1808,38
3377,39
2262,40
3102,41
1265,42
