attach,VFIMVAZDSBMQADXRRTXHKWSQQYWUS9BWJQOIFXYRKMKDAXOENNUFJOLTPHUPYIXIGHIMSKNDOVIQHZDXB https://nodes.thetangle.org:443
2920,0
2947,1
3621,2
2355,3
1740,4
1338,5
4397,6
7084,7
6022,8
2381,9
5645,10
1641,11
5048,12
2449,13
1686,14
11931,15
2996,16
2903,17
13860,18
1110,19
3031,20
4527,21
943,22
1413,23
2535,24
1038,25
1895,26
6495,27
1347,28
2138,29
2860,30
2866,31
4300,32
4441,33
4777,34
1435,35
3844,36
4400,37
5023,38
2756,39
4880,40
3344,41
1477,42
1923,43
4037,44
