attach,https://nodes.thetangle.org:443 score: 81.566508350158 scoreNorm: 0.6032751836306978
2606,0
2042,1
4210,2
1826,3
4738,4
4607,5
23163,6
11972,7
6229,8
3474,9
14372,10
2815,11
2993,12
2114,13
1861,14
3063,15
15029,16
3062,17
10685,18
3211,19
6366,20
1827,21
4652,22
4100,23
1488,24
7863,25
2407,26
2413,27
3640,28
10382,29
46562,30
4591,31
21049,32
3726,33
1751,34
2110,35
13056,36
1284,37
3537,38
2392,39
6667,40
4673,41
2972,42
12488,43
2321,44
