attach,https://iotanode.world:14267 score: 60.52630055053187 scoreNorm: 0.44765941092338285
184428,0
221211,1
289058,2
296944,3
307341,4
236538,5
279070,6
-1,9
481398,7
509682,8
-1,10
-1,11
-1,12
-1,13
-1,14
-1,15
-1,16
-1,20
-1,21
-1,19
-1,18
-1,17
-1,23
-1,24
-1,22
-1,25
-1,26
-1,27
-1,28
-1,29
-1,30
420845,31
462383,32
-1,34
-1,33
385103,35
-1,37
-1,36
410449,38
-1,40
-1,39
160548,42
170743,43
143398,44
346265,41
