attach,9GTJBE9JT9OEMAAORLYQLFREWZZGCGUGPASGRAKWLHIPAZDNGNDSIIXEIJUNLKZTCNX9VAZVFTPSRAVIZ https://nodes.thetangle.org:443 score: 0.6945354026840213
11407,0
41286,1
32299,2
24282,3
7644,4
10489,5
31006,6
7639,7
5445,8
36785,9
32402,10
69053,11
85534,12
64526,13
74461,14
103418,15
90010,16
-1,17
180450,18
-1,19
-1,20
-1,21
-1,22
-1,24
-1,23
-1,26
-1,25
-1,27
-1,28
-1,29
-1,31
-1,30
-1,32
-1,33
-1,34
-1,35
-1,36
-1,38
-1,37
-1,40
-1,39
-1,42
-1,41
-1,44
-1,43
