attach,XYGV9XGNG9QJTJ9DLUXFZYVEGDMLYRBZYMNVZXKITYDFNLG9ROTVYULT9WRYETOYMBVOQAOGSBYOTOHCL https://ultranode.iotatoken.nl:443 score: 0.5201974918306147
25545,0
6675,1
20932,2
6849,3
8395,4
3366,5
8202,6
38373,7
54226,8
46737,9
96568,10
78523,11
-1,12
-1,13
-1,14
-1,15
-1,16
-1,18
-1,17
-1,19
-1,20
-1,22
-1,21
-1,24
-1,23
-1,25
-1,26
-1,27
-1,28
-1,30
-1,29
-1,32
-1,31
-1,33
-1,34
-1,35
-1,36
-1,37
-1,39
-1,38
-1,40
-1,42
-1,41
-1,43
-1,44
