attach,JFLSIFPB9OIWCZ9MQGUBN9NWQIKTWFWAAZS9SRKXYFCBHSHFSYAKUM9ZAKSOKULRZDQ9KEIJEEGPXTSZJ https://node01.gubiota.ch:443 score: 0.34900586048519633
11763,0
16447,1
18406,2
4707,3
33134,4
41963,5
71337,6
72571,7
58939,8
94772,9
91208,10
114469,11
-1,12
-1,14
-1,13
-1,15
-1,17
-1,16
-1,19
-1,18
-1,21
-1,20
-1,22
-1,23
-1,24
180035,25
-1,26
-1,27
-1,28
-1,30
-1,29
-1,31
-1,33
-1,32
-1,35
-1,34
-1,38
-1,37
-1,36
-1,39
-1,40
-1,41
-1,42
-1,43
-1,44
