attach,https://hanspetzersnode.org:14267 score: 37.367567935958505 scoreNorm: 0.15744573919085203
287,9755,0
604,10602,1
412,13673,2
453,12375,3
2886,10021,4
508,21200,5
577,6794,6
18164,19993,7
321,4440,8
251,9817,9
332,3145,10
3990,7134,11
1468,30033,12
336,7567,13
598,22999,14
718,23480,15
752,39695,16
595,4855,17
500,20672,18
1094,27556,19
35694,32099,20
400,18011,21
465,12879,22
725,11342,23
-1,-1,25
-1,-1,24
639,23798,26
431,7103,27
333,3627,28
10579,60913,29
22752,21441,30
666,18973,31
4525,16443,32
334,7067,33
479,5724,34
429,20084,35
-1,-1,36
388,5697,37
334,15389,38
520,5958,39
4763,19406,40
336,3506,41
748,38595,42
610,74051,43
27264,3115,44
