attach,http://mandelhost.de:14265 score: 10.04783597425981 scoreNorm: 0.10385965581919804
1769927,4
1784623,5
1765779,6
1677559,7
1678196,8
1629679,9
1294701,20
1239077,21
1231688,22
1307196,23
3699253,0
3749830,1
3720043,3
3773004,2
2238980,25
2194132,26
2154908,27
2111166,28
1959120,29
1931165,30
3452981,10
3428560,11
3428848,12
3396159,13
3412375,14
3415202,15
3428552,16
3401289,17
3403752,18
3263235,19
2196825,31
2171617,32
2166261,33
2125868,34
2082946,35
2101318,36
2032167,37
2010981,38
1993085,39
2008500,40
1910603,41
1859688,42
1865199,43
1911971,44
3659177,24
