attach,http://speedynode.ddns.net:14265 score: 17.245079759527876 scoreNorm: 0.17825410894320712
35468,0
84319,1
56402,2
56074,3
3250,4
17075,5
40830,6
4740,7
19961,8
30277,9
43242,10
27703,11
33770,12
28125,13
28334,14
15371,15
14243,16
11933,17
28032,18
61174,19
29350,20
45102,21
43358,22
39795,23
46719,24
10480,25
28349,26
22146,27
13692,28
56549,29
71068,30
2172,31
28570,32
9307,33
27285,34
18414,35
37760,36
38551,37
22802,38
11899,39
19383,40
29458,41
17605,42
13999,43
32736,44
