attach,https://trinity.iota-tangle.io:14265 score: 77.86596889793873 scoreNorm: 0.8048631317714208
3931,0
2485,1
2747,2
1553,3
2804,4
4158,5
1601,6
1636,7
1168,8
2267,9
1512,10
2023,11
3351,12
1675,13
5288,14
579,15
7524,16
2940,17
2260,18
2526,19
9067,20
5356,21
6142,22
1451,23
1351,24
2167,25
1295,26
1939,27
1920,28
2408,29
1900,30
2316,31
1925,32
2820,33
7354,34
2957,35
1725,36
4576,37
1226,38
1546,39
7072,40
1552,41
5694,42
3524,43
3412,44
