attach,http://iota.antonionardella.eu:14265 score: 10.48399884137325 scoreNorm: 0.10836806194521002
-1,0
-1,1
-1,2
-1,3
-1,4
-1,5
-1,6
-1,7
-1,8
-1,9
-1,11
316943,10
339108,12
281189,14
247677,15
-1,21
518547,16
508924,17
872243,13
-1,25
-1,26
-1,24
652403,18
813557,19
799502,20
749610,23
583126,29
535926,30
518912,31
560063,32
555214,33
619761,34
1419495,22
1224874,28
1409881,27
851528,35
1093612,36
1123583,37
1180299,38
1312374,39
1366770,40
1431057,41
1416057,42
1456693,43
1544696,44
