attach,http://159.69.116.60:14265 score: 1.5245825776599702 scoreNorm: 0.007787373010747917
1065,57,0
917,75,1
957,69,2
926,62,3
581,73,4
779,72,5
574,58,6
432,55,7
637,67,8
956,53,9
631,64,10
401,57,11
408,56,12
597,55,13
888,43,14
951,61,15
694,41,16
1205,59,17
676,39,18
1218,45,19
702,57,20
884,87,21
742,49,22
871,36,23
734,42,24
7231,55,25
1865,47,26
666,40,27
482,42,28
831,34,29
567,52,30
9212,46,31
952,52,32
4676,32,33
1058,33,34
372,61,35
687,32,36
696,51,37
892,50,38
885,34,39
671,40,40
631,52,41
566,46,42
