attach,https://wallet1.iota.town:443 score: 128.9268536567688 scoreNorm: 1
78268,0
25200,2
93749,1
2635,3
20315,4
23246,5
22375,6
16639,7
7585,8
3970,9
21498,10
23291,11
9770,12
5049,13
56490,14
57388,15
72506,16
16149,17
30889,18
116991,19
67350,20
17586,21
55318,22
79611,23
39398,24
6687,25
8419,26
30120,27
31332,28
2660,29
7974,30
53399,31
27503,32
41113,33
20864,34
19304,35
13900,36
26369,37
32661,38
9301,39
43301,40
5873,41
13483,42
19355,43
