attach,https://nodes.thetangle.org:443 score: 89.05902667442065 scoreNorm: 0.4069178010799934
531,2940,0
550,2069,1
622,2648,2
1223,495,3
360,848,4
1088,17136,5
707,6576,6
517,2804,7
399,3140,8
1338,7161,9
860,10533,10
818,17249,11
1476,2858,13
-1,-1,12
534,3982,14
1403,6154,15
1521,4758,16
886,4797,17
1302,11137,18
1583,23886,19
1376,27809,20
560,28511,21
-1,-1,22
270,5428,23
1458,4844,24
448,2775,25
1905,2306,26
526,2681,27
815,7864,28
765,18257,29
16880,25595,31
-1,-1,32
915,1295,33
612,1069,34
1209,25217,35
1159,8270,36
1614,274,37
570,7421,38
1003,18315,40
24844,16814,39
-1,-1,30
622,1161,41
1277,631,42
446,1295,43
592,416,44
