attach,https://trinity.iota-tangle.io:14265 score: 74.74963881075382 scoreNorm: 0.6732903195558485
1445,0
2832,1
2583,2
3076,3
2181,4
1961,5
2765,6
1532,7
2903,8
1539,9
2305,10
926,11
1272,12
1659,13
806,14
1665,15
3776,16
1621,17
994,18
1217,19
1858,20
1551,21
1303,22
1854,23
2874,24
990,25
1696,26
1928,27
2077,28
1619,29
6550,30
943,31
1633,32
1049,33
2714,34
2813,35
3358,36
2757,37
1742,38
1852,39
2630,40
5201,41
1159,42
5685,43
1628,44
