attach,MBU9QXDZYYTUMIKKLXFCHMAEEEJEHZZAEGADLGIPHSZSZDPATHBDOSWZSSCUVSL9GSQCXQEWIZLEONOAK https://trinity.iota-tangle.io:14265 score: 0.23403398025168876
2880,0
-1,1
2677,2
878,3
1233,4
1373,5
2272,6
1268,7
1004,8
2732,9
2338,10
3227,11
2644,12
2312,13
2263,14
4015,15
5499,16
4120,17
985,18
3663,19
2323,20
1400,21
1234,22
2138,23
7042,24
1914,25
3747,26
889,27
2722,28
943,29
819,30
-1,31
1228,32
861,33
1122,34
1005,35
2745,36
12777,37
2439,38
4748,39
1668,40
3139,41
1803,42
-1,43
