attach,NWHVZJCWWOTWUUOEOKCDVFVQRCEFOONTWZMNJUQJHEZRLAXFVODCCOIHYKGGJJGIXJLFHVQFZR9QPIGGJ https://ultranode.iotatoken.nl:443 score: 0.567891297713477
1298,0
709,1
4905,2
3408,3
4449,4
922,5
1088,6
1724,7
1476,8
2460,9
2322,10
522,11
2790,12
3068,13
5419,14
468,15
2995,16
1747,17
2035,18
1401,19
-1,20
2530,21
2086,22
3625,23
1737,24
1774,25
3852,26
1572,27
2047,28
13125,29
2499,30
1421,31
1036,32
2568,33
4186,34
1473,35
1297,36
977,37
3013,38
701,39
3268,40
1399,41
2101,42
