attach,https://trinity.iota-tangle.io:14265 score: 130.76394519209862 scoreNorm: 1
2926,0
1455,1
1465,2
1935,3
3033,4
3332,5
1374,6
2119,7
2227,8
6134,9
2255,10
1799,11
1973,12
1220,13
1603,14
2768,15
1931,16
2331,17
1300,18
989,19
3509,20
4326,21
1628,22
2005,23
2081,24
3316,25
2140,26
988,27
3273,28
2504,29
1014,30
5254,31
1895,32
3749,33
2323,34
8593,35
2133,36
1078,37
1865,38
2285,39
2901,40
1314,41
2926,42
1309,43
1219,44
