attach,https://dyn.tangle-nodes.com:443 score: 66.40860511779786 scoreNorm: 0.5078510366159447
-1,0
11857,1
2595,2
2098,3
32545,4
9019,5
-1,6
-1,7
-1,8
16422,9
8299,10
-1,11
10017,12
-1,13
-1,15
-1,14
-1,16
3593,17
22223,18
-1,19
-1,20
-1,21
-1,22
-1,23
-1,24
-1,25
-1,26
-1,27
24660,28
4134,30
-1,29
-1,31
4865,32
-1,33
-1,34
1721,35
-1,36
-1,37
-1,38
7709,39
5632,40
-1,41
22449,42
-1,43
2136,44
