attach,https://nodes.thetangle.org:443 score: 86.81344260226474 scoreNorm: 0.6638943362769574
2004,0
4417,1
2364,2
3574,3
3092,4
3073,5
2920,6
34743,7
10182,8
2724,9
11707,10
4364,11
2226,12
2505,13
4406,14
1213,15
3209,16
29393,17
20841,18
1704,19
1214,20
1995,21
8064,22
9715,23
11712,24
1055,25
1996,26
1844,27
22003,28
9159,29
4114,30
25319,31
2084,32
3836,33
3096,34
1990,35
21090,36
6999,37
3246,38
27353,39
3480,40
1462,41
18258,42
835,43
15567,44
